step,scenario,node_i,node_j,event_type,reason
9,Blackhole,1,2,disconnect,distance_exceeded_rc
9,Blackhole,1,6,disconnect,distance_exceeded_rc
9,Blackhole,1,8,disconnect,distance_exceeded_rc
11,Blackhole,0,1,disconnect,distance_exceeded_rc
11,Blackhole,0,2,disconnect,distance_exceeded_rc
11,Blackhole,1,3,disconnect,distance_exceeded_rc
11,Blackhole,1,5,disconnect,distance_exceeded_rc+malicious_path
11,Blackhole,1,7,disconnect,distance_exceeded_rc+malicious_path
11,Blackhole,2,4,disconnect,distance_exceeded_rc
11,Blackhole,2,5,disconnect,distance_exceeded_rc+malicious_path
11,Blackhole,2,7,disconnect,distance_exceeded_rc+malicious_path
11,Blackhole,4,6,disconnect,distance_exceeded_rc
11,Blackhole,5,8,disconnect,distance_exceeded_rc+malicious_path
11,Blackhole,7,8,disconnect,distance_exceeded_rc+malicious_path
12,Blackhole,0,3,disconnect,distance_exceeded_rc
12,Blackhole,0,8,disconnect,distance_exceeded_rc
12,Blackhole,3,5,disconnect,distance_exceeded_rc+malicious_path
12,Blackhole,4,8,disconnect,distance_exceeded_rc
13,Blackhole,2,9,disconnect,distance_exceeded_rc+malicious_path
13,Blackhole,3,4,disconnect,distance_exceeded_rc
13,Blackhole,3,7,disconnect,distance_exceeded_rc+malicious_path
13,Blackhole,5,6,disconnect,distance_exceeded_rc+malicious_path
13,Blackhole,6,9,disconnect,distance_exceeded_rc+malicious_path
14,Blackhole,1,9,disconnect,distance_exceeded_rc+malicious_path
14,Blackhole,2,6,disconnect,distance_exceeded_rc
14,Blackhole,3,6,disconnect,distance_exceeded_rc
14,Blackhole,6,8,disconnect,distance_exceeded_rc
14,Blackhole,8,9,disconnect,distance_exceeded_rc+malicious_path
15,Blackhole,0,4,disconnect,distance_exceeded_rc
15,Blackhole,0,6,disconnect,distance_exceeded_rc
15,Blackhole,0,9,disconnect,distance_exceeded_rc+malicious_path
15,Blackhole,1,4,disconnect,distance_exceeded_rc
15,Blackhole,3,9,disconnect,distance_exceeded_rc+malicious_path
15,Blackhole,4,7,disconnect,distance_exceeded_rc+malicious_path
16,Blackhole,7,9,disconnect,distance_exceeded_rc+malicious_path
18,Blackhole,4,5,disconnect,distance_exceeded_rc+malicious_path
18,Blackhole,5,9,disconnect,distance_exceeded_rc+malicious_path
22,Blackhole,5,7,disconnect,distance_exceeded_rc+malicious_path
23,Blackhole,0,7,disconnect,distance_exceeded_rc+malicious_path
24,Blackhole,0,5,disconnect,distance_exceeded_rc+malicious_path
27,Blackhole,2,8,disconnect,distance_exceeded_rc
28,Blackhole,2,3,disconnect,distance_exceeded_rc
28,Blackhole,3,8,disconnect,distance_exceeded_rc
29,Blackhole,2,6,reconnect,recovered_within_rc
34,Blackhole,3,4,reconnect,recovered_within_rc
37,Blackhole,5,7,reconnect,recovered_within_rc+malicious_path
37,Blackhole,5,9,reconnect,recovered_within_rc+malicious_path
41,Blackhole,2,6,disconnect,distance_exceeded_rc
42,Blackhole,4,5,reconnect,recovered_within_rc+malicious_path
45,Blackhole,4,7,reconnect,recovered_within_rc+malicious_path
46,Blackhole,3,6,reconnect,recovered_within_rc
46,Blackhole,7,9,reconnect,recovered_within_rc+malicious_path
47,Blackhole,3,9,reconnect,recovered_within_rc+malicious_path
48,Blackhole,3,5,reconnect,recovered_within_rc+malicious_path
48,Blackhole,3,7,reconnect,recovered_within_rc+malicious_path
48,Blackhole,4,6,reconnect,recovered_within_rc
49,Blackhole,5,6,reconnect,recovered_within_rc+malicious_path
50,Blackhole,6,9,reconnect,recovered_within_rc+malicious_path
56,Blackhole,0,2,reconnect,recovered_within_rc
