step,scenario,node_i,node_j,event_type,reason
7,Blackhole,1,3,disconnect,distance_exceeded_rc
7,Blackhole,1,5,disconnect,distance_exceeded_rc
7,Blackhole,1,6,disconnect,distance_exceeded_rc
7,Blackhole,1,7,disconnect,distance_exceeded_rc+malicious_path
7,Blackhole,2,7,disconnect,distance_exceeded_rc+malicious_path
7,Blackhole,3,7,disconnect,distance_exceeded_rc+malicious_path
9,Blackhole,0,2,disconnect,distance_exceeded_rc+malicious_path
9,Blackhole,0,3,disconnect,distance_exceeded_rc
9,Blackhole,1,2,disconnect,distance_exceeded_rc+malicious_path
9,Blackhole,2,9,disconnect,distance_exceeded_rc+malicious_path
10,Blackhole,0,1,disconnect,distance_exceeded_rc
10,Blackhole,1,9,disconnect,distance_exceeded_rc
10,Blackhole,2,5,disconnect,distance_exceeded_rc+malicious_path
10,Blackhole,3,9,disconnect,distance_exceeded_rc
11,Blackhole,3,5,disconnect,distance_exceeded_rc
11,Blackhole,7,8,disconnect,distance_exceeded_rc+malicious_path
12,Blackhole,0,8,disconnect,distance_exceeded_rc
12,Blackhole,1,8,disconnect,distance_exceeded_rc
12,Blackhole,2,6,disconnect,distance_exceeded_rc+malicious_path
12,Blackhole,3,4,disconnect,distance_exceeded_rc
12,Blackhole,4,6,disconnect,distance_exceeded_rc
12,Blackhole,6,7,disconnect,distance_exceeded_rc+malicious_path
12,Blackhole,8,9,disconnect,distance_exceeded_rc
13,Blackhole,0,4,disconnect,distance_exceeded_rc
13,Blackhole,0,6,disconnect,distance_exceeded_rc
13,Blackhole,2,4,disconnect,distance_exceeded_rc+malicious_path
13,Blackhole,4,9,disconnect,distance_exceeded_rc
13,Blackhole,5,8,disconnect,distance_exceeded_rc
13,Blackhole,6,8,disconnect,distance_exceeded_rc
14,Blackhole,5,6,disconnect,distance_exceeded_rc
15,Blackhole,3,6,disconnect,distance_exceeded_rc
15,Blackhole,4,7,disconnect,distance_exceeded_rc+malicious_path
15,Blackhole,6,9,disconnect,distance_exceeded_rc
16,Blackhole,2,6,reconnect,recovered_within_rc+malicious_path
16,Blackhole,6,7,reconnect,recovered_within_rc+malicious_path
16,Blackhole,6,9,reconnect,recovered_within_rc
17,Blackhole,3,6,reconnect,recovered_within_rc
17,Blackhole,4,8,disconnect,distance_exceeded_rc
19,Blackhole,6,9,disconnect,distance_exceeded_rc
21,Blackhole,4,6,reconnect,recovered_within_rc
21,Blackhole,4,8,reconnect,recovered_within_rc
21,Blackhole,6,8,reconnect,recovered_within_rc
23,Blackhole,1,6,reconnect,recovered_within_rc
24,Blackhole,4,8,disconnect,distance_exceeded_rc
25,Blackhole,1,9,reconnect,recovered_within_rc
25,Blackhole,5,7,disconnect,distance_exceeded_rc+malicious_path
29,Blackhole,1,5,reconnect,recovered_within_rc
29,Blackhole,1,6,disconnect,distance_exceeded_rc
29,Blackhole,1,7,reconnect,recovered_within_rc+malicious_path
29,Blackhole,5,7,reconnect,recovered_within_rc+malicious_path
30,Blackhole,1,9,disconnect,distance_exceeded_rc
30,Blackhole,4,7,reconnect,recovered_within_rc+malicious_path
31,Blackhole,2,7,reconnect,recovered_within_rc+malicious_path
31,Blackhole,6,8,disconnect,distance_exceeded_rc
34,Blackhole,1,9,reconnect,recovered_within_rc
34,Blackhole,2,6,disconnect,distance_exceeded_rc+malicious_path
35,Blackhole,5,7,disconnect,distance_exceeded_rc+malicious_path
36,Blackhole,4,9,reconnect,recovered_within_rc
37,Blackhole,0,1,reconnect,recovered_within_rc
37,Blackhole,0,7,disconnect,distance_exceeded_rc+malicious_path
38,Blackhole,3,7,reconnect,recovered_within_rc+malicious_path
39,Blackhole,7,8,reconnect,recovered_within_rc+malicious_path
41,Blackhole,1,7,disconnect,distance_exceeded_rc+malicious_path
42,Blackhole,6,8,reconnect,recovered_within_rc
44,Blackhole,0,2,reconnect,recovered_within_rc+malicious_path
44,Blackhole,0,5,disconnect,distance_exceeded_rc
44,Blackhole,4,7,disconnect,distance_exceeded_rc+malicious_path
45,Blackhole,2,3,disconnect,distance_exceeded_rc+malicious_path
45,Blackhole,2,9,reconnect,recovered_within_rc+malicious_path
45,Blackhole,4,9,disconnect,distance_exceeded_rc
45,Blackhole,5,6,reconnect,recovered_within_rc
45,Blackhole,7,9,disconnect,distance_exceeded_rc+malicious_path
46,Blackhole,2,8,disconnect,distance_exceeded_rc+malicious_path
46,Blackhole,5,6,disconnect,distance_exceeded_rc
47,Blackhole,1,9,disconnect,distance_exceeded_rc
47,Blackhole,2,7,disconnect,distance_exceeded_rc+malicious_path
47,Blackhole,4,6,disconnect,distance_exceeded_rc
47,Blackhole,5,6,reconnect,recovered_within_rc
47,Blackhole,5,9,disconnect,distance_exceeded_rc
50,Blackhole,0,4,reconnect,recovered_within_rc
51,Blackhole,1,9,reconnect,recovered_within_rc
51,Blackhole,4,9,reconnect,recovered_within_rc
55,Blackhole,0,1,disconnect,distance_exceeded_rc
57,Blackhole,5,7,reconnect,recovered_within_rc+malicious_path
58,Blackhole,2,4,reconnect,recovered_within_rc+malicious_path
59,Blackhole,5,9,reconnect,recovered_within_rc
