step,scenario,node_i,node_j,event_type,reason
1,Blackhole,6,7,reconnect,recovered_within_rc+malicious_path
3,Blackhole,1,9,reconnect,recovered_within_rc+malicious_path
4,Blackhole,0,8,reconnect,recovered_within_rc
5,Blackhole,2,8,reconnect,recovered_within_rc
5,Blackhole,4,9,reconnect,recovered_within_rc+malicious_path
6,Blackhole,8,9,disconnect,distance_exceeded_rc+malicious_path
9,Blackhole,6,9,reconnect,recovered_within_rc+malicious_path
12,Blackhole,1,9,disconnect,distance_exceeded_rc+malicious_path
13,Blackhole,3,9,reconnect,recovered_within_rc+malicious_path
15,Blackhole,3,4,reconnect,recovered_within_rc
16,Blackhole,0,8,disconnect,distance_exceeded_rc
16,Blackhole,2,3,reconnect,recovered_within_rc
16,Blackhole,2,4,reconnect,recovered_within_rc
16,Blackhole,2,8,disconnect,distance_exceeded_rc
17,Blackhole,1,4,disconnect,distance_exceeded_rc
19,Blackhole,0,3,reconnect,recovered_within_rc
20,Blackhole,0,7,reconnect,recovered_within_rc+malicious_path
20,Blackhole,4,9,disconnect,distance_exceeded_rc+malicious_path
20,Blackhole,7,9,reconnect,recovered_within_rc+malicious_path
21,Blackhole,2,7,reconnect,recovered_within_rc+malicious_path
21,Blackhole,3,9,disconnect,distance_exceeded_rc+malicious_path
21,Blackhole,6,9,disconnect,distance_exceeded_rc+malicious_path
22,Blackhole,3,8,reconnect,recovered_within_rc
24,Blackhole,0,3,disconnect,distance_exceeded_rc
24,Blackhole,4,8,reconnect,recovered_within_rc
24,Blackhole,6,9,reconnect,recovered_within_rc+malicious_path
25,Blackhole,2,4,disconnect,distance_exceeded_rc
26,Blackhole,2,3,disconnect,distance_exceeded_rc
28,Blackhole,0,5,reconnect,recovered_within_rc+malicious_path
28,Blackhole,2,5,reconnect,recovered_within_rc+malicious_path
28,Blackhole,2,6,reconnect,recovered_within_rc
29,Blackhole,5,7,disconnect,distance_exceeded_rc+malicious_path
32,Blackhole,0,7,disconnect,distance_exceeded_rc+malicious_path
32,Blackhole,5,6,disconnect,distance_exceeded_rc+malicious_path
34,Blackhole,2,7,disconnect,distance_exceeded_rc+malicious_path
35,Blackhole,2,6,disconnect,distance_exceeded_rc
35,Blackhole,3,7,reconnect,recovered_within_rc+malicious_path
36,Blackhole,1,6,reconnect,recovered_within_rc
38,Blackhole,1,9,reconnect,recovered_within_rc+malicious_path
40,Blackhole,3,8,disconnect,distance_exceeded_rc
42,Blackhole,1,7,reconnect,recovered_within_rc+malicious_path
42,Blackhole,3,9,reconnect,recovered_within_rc+malicious_path
44,Blackhole,3,6,reconnect,recovered_within_rc
47,Blackhole,3,8,reconnect,recovered_within_rc
49,Blackhole,4,7,reconnect,recovered_within_rc+malicious_path
51,Blackhole,7,8,reconnect,recovered_within_rc+malicious_path
54,Blackhole,1,7,disconnect,distance_exceeded_rc+malicious_path
54,Blackhole,3,8,disconnect,distance_exceeded_rc
56,Blackhole,1,6,disconnect,distance_exceeded_rc
56,Blackhole,4,6,reconnect,recovered_within_rc
57,Blackhole,4,9,reconnect,recovered_within_rc+malicious_path
59,Blackhole,1,3,reconnect,recovered_within_rc
