step,scenario,node_i,node_j,event_type,reason
2,Blackhole,1,5,disconnect,distance_exceeded_rc
2,Blackhole,1,6,disconnect,distance_exceeded_rc
3,Blackhole,0,3,disconnect,distance_exceeded_rc
3,Blackhole,0,4,disconnect,distance_exceeded_rc
3,Blackhole,0,5,disconnect,distance_exceeded_rc
3,Blackhole,0,6,disconnect,distance_exceeded_rc
3,Blackhole,1,3,disconnect,distance_exceeded_rc
3,Blackhole,1,4,disconnect,distance_exceeded_rc
3,Blackhole,3,8,disconnect,distance_exceeded_rc
3,Blackhole,3,9,disconnect,distance_exceeded_rc
3,Blackhole,4,9,disconnect,distance_exceeded_rc
3,Blackhole,5,9,disconnect,distance_exceeded_rc
4,Blackhole,1,7,disconnect,distance_exceeded_rc
4,Blackhole,2,6,disconnect,distance_exceeded_rc+malicious_path
4,Blackhole,2,7,disconnect,distance_exceeded_rc+malicious_path
4,Blackhole,4,8,disconnect,distance_exceeded_rc
4,Blackhole,6,9,disconnect,distance_exceeded_rc
5,Blackhole,0,7,disconnect,distance_exceeded_rc
5,Blackhole,2,5,disconnect,distance_exceeded_rc+malicious_path
5,Blackhole,2,8,disconnect,distance_exceeded_rc+malicious_path
5,Blackhole,5,8,disconnect,distance_exceeded_rc
6,Blackhole,2,4,disconnect,distance_exceeded_rc+malicious_path
6,Blackhole,2,9,disconnect,distance_exceeded_rc+malicious_path
6,Blackhole,3,7,disconnect,distance_exceeded_rc
6,Blackhole,6,8,disconnect,distance_exceeded_rc
6,Blackhole,7,9,disconnect,distance_exceeded_rc
7,Blackhole,0,2,disconnect,distance_exceeded_rc+malicious_path
8,Blackhole,2,3,disconnect,distance_exceeded_rc+malicious_path
9,Blackhole,1,2,disconnect,distance_exceeded_rc+malicious_path
10,Blackhole,7,8,disconnect,distance_exceeded_rc
14,Blackhole,3,5,disconnect,distance_exceeded_rc
16,Blackhole,3,4,disconnect,distance_exceeded_rc
17,Blackhole,3,6,disconnect,distance_exceeded_rc
18,Blackhole,5,7,disconnect,distance_exceeded_rc
19,Blackhole,5,6,disconnect,distance_exceeded_rc
23,Blackhole,4,6,disconnect,distance_exceeded_rc
24,Blackhole,8,9,disconnect,distance_exceeded_rc
25,Blackhole,4,7,disconnect,distance_exceeded_rc
26,Blackhole,0,9,disconnect,distance_exceeded_rc
30,Blackhole,1,9,disconnect,distance_exceeded_rc
36,Blackhole,6,7,disconnect,distance_exceeded_rc
