step,scenario,node_i,node_j,event_type,reason
6,Blackhole,1,5,disconnect,distance_exceeded_rc
7,Blackhole,0,5,disconnect,distance_exceeded_rc
7,Blackhole,1,4,disconnect,distance_exceeded_rc
7,Blackhole,1,7,disconnect,distance_exceeded_rc+malicious_path
8,Blackhole,0,4,disconnect,distance_exceeded_rc
8,Blackhole,0,7,disconnect,distance_exceeded_rc+malicious_path
8,Blackhole,1,3,disconnect,distance_exceeded_rc
8,Blackhole,3,7,disconnect,distance_exceeded_rc+malicious_path
8,Blackhole,3,9,disconnect,distance_exceeded_rc
8,Blackhole,4,9,disconnect,distance_exceeded_rc
8,Blackhole,5,9,disconnect,distance_exceeded_rc
9,Blackhole,0,3,disconnect,distance_exceeded_rc
9,Blackhole,1,9,disconnect,distance_exceeded_rc
9,Blackhole,4,7,disconnect,distance_exceeded_rc+malicious_path
9,Blackhole,5,8,disconnect,distance_exceeded_rc
10,Blackhole,0,2,disconnect,distance_exceeded_rc+malicious_path
10,Blackhole,1,2,disconnect,distance_exceeded_rc+malicious_path
10,Blackhole,2,9,disconnect,distance_exceeded_rc+malicious_path
10,Blackhole,4,6,disconnect,distance_exceeded_rc
10,Blackhole,4,8,disconnect,distance_exceeded_rc
10,Blackhole,6,9,disconnect,distance_exceeded_rc
11,Blackhole,2,8,disconnect,distance_exceeded_rc+malicious_path
11,Blackhole,3,6,disconnect,distance_exceeded_rc
11,Blackhole,3,8,disconnect,distance_exceeded_rc
11,Blackhole,5,6,disconnect,distance_exceeded_rc
11,Blackhole,5,7,disconnect,distance_exceeded_rc+malicious_path
11,Blackhole,7,8,disconnect,distance_exceeded_rc+malicious_path
12,Blackhole,0,6,disconnect,distance_exceeded_rc
12,Blackhole,0,9,disconnect,distance_exceeded_rc
12,Blackhole,6,7,disconnect,distance_exceeded_rc+malicious_path
13,Blackhole,0,6,reconnect,recovered_within_rc
13,Blackhole,2,6,disconnect,distance_exceeded_rc+malicious_path
14,Blackhole,1,8,disconnect,distance_exceeded_rc
14,Blackhole,2,4,disconnect,distance_exceeded_rc+malicious_path
14,Blackhole,6,7,reconnect,recovered_within_rc+malicious_path
15,Blackhole,2,4,reconnect,recovered_within_rc+malicious_path
16,Blackhole,1,8,reconnect,recovered_within_rc
16,Blackhole,2,7,disconnect,distance_exceeded_rc+malicious_path
18,Blackhole,6,8,disconnect,distance_exceeded_rc
19,Blackhole,0,9,reconnect,recovered_within_rc
25,Blackhole,0,7,reconnect,recovered_within_rc+malicious_path
28,Blackhole,0,1,disconnect,distance_exceeded_rc
28,Blackhole,1,7,reconnect,recovered_within_rc+malicious_path
29,Blackhole,1,9,reconnect,recovered_within_rc
30,Blackhole,0,7,disconnect,distance_exceeded_rc+malicious_path
37,Blackhole,0,7,reconnect,recovered_within_rc+malicious_path
38,Blackhole,0,9,disconnect,distance_exceeded_rc
39,Blackhole,1,9,disconnect,distance_exceeded_rc
40,Blackhole,0,1,reconnect,recovered_within_rc
40,Blackhole,0,8,disconnect,distance_exceeded_rc
40,Blackhole,0,9,reconnect,recovered_within_rc
42,Blackhole,0,8,reconnect,recovered_within_rc
42,Blackhole,6,8,reconnect,recovered_within_rc
43,Blackhole,7,9,disconnect,distance_exceeded_rc+malicious_path
44,Blackhole,0,8,disconnect,distance_exceeded_rc
44,Blackhole,1,9,reconnect,recovered_within_rc
44,Blackhole,6,9,reconnect,recovered_within_rc
45,Blackhole,0,1,disconnect,distance_exceeded_rc
47,Blackhole,7,8,reconnect,recovered_within_rc+malicious_path
48,Blackhole,1,9,disconnect,distance_exceeded_rc
48,Blackhole,6,8,disconnect,distance_exceeded_rc
49,Blackhole,6,7,disconnect,distance_exceeded_rc+malicious_path
50,Blackhole,7,9,reconnect,recovered_within_rc+malicious_path
51,Blackhole,6,7,reconnect,recovered_within_rc+malicious_path
55,Blackhole,6,9,disconnect,distance_exceeded_rc
