step,scenario,node_i,node_j,event_type,reason
7,Default,1,3,disconnect,distance_exceeded_rc
7,Default,1,5,disconnect,distance_exceeded_rc
7,Default,1,6,disconnect,distance_exceeded_rc
7,Default,2,7,disconnect,distance_exceeded_rc+malicious_path
7,Default,3,7,disconnect,distance_exceeded_rc
8,Default,1,7,disconnect,distance_exceeded_rc
9,Default,0,2,disconnect,distance_exceeded_rc+malicious_path
9,Default,1,2,disconnect,distance_exceeded_rc+malicious_path
9,Default,1,9,disconnect,distance_exceeded_rc
10,Default,0,1,disconnect,distance_exceeded_rc
10,Default,0,3,disconnect,distance_exceeded_rc
10,Default,2,5,disconnect,distance_exceeded_rc+malicious_path
11,Default,3,5,disconnect,distance_exceeded_rc
11,Default,5,9,disconnect,distance_exceeded_rc
11,Default,6,7,disconnect,distance_exceeded_rc
11,Default,7,9,disconnect,distance_exceeded_rc
12,Default,0,8,disconnect,distance_exceeded_rc
12,Default,1,8,disconnect,distance_exceeded_rc
12,Default,2,4,disconnect,distance_exceeded_rc+malicious_path
12,Default,2,9,disconnect,distance_exceeded_rc+malicious_path
12,Default,3,4,disconnect,distance_exceeded_rc
12,Default,5,6,disconnect,distance_exceeded_rc
12,Default,7,8,disconnect,distance_exceeded_rc
13,Default,0,6,disconnect,distance_exceeded_rc
13,Default,4,6,disconnect,distance_exceeded_rc
13,Default,6,8,disconnect,distance_exceeded_rc
13,Default,8,9,disconnect,distance_exceeded_rc
14,Default,0,5,disconnect,distance_exceeded_rc
14,Default,3,9,disconnect,distance_exceeded_rc
14,Default,4,9,disconnect,distance_exceeded_rc
15,Default,5,8,disconnect,distance_exceeded_rc
16,Default,0,4,disconnect,distance_exceeded_rc
16,Default,0,5,reconnect,recovered_within_rc
16,Default,4,8,disconnect,distance_exceeded_rc
17,Default,5,9,reconnect,recovered_within_rc
18,Default,6,8,reconnect,recovered_within_rc
19,Default,1,5,reconnect,recovered_within_rc
19,Default,7,9,reconnect,recovered_within_rc
20,Default,6,9,disconnect,distance_exceeded_rc
22,Default,0,9,disconnect,distance_exceeded_rc
22,Default,1,9,reconnect,recovered_within_rc
22,Default,4,9,reconnect,recovered_within_rc
24,Default,0,9,reconnect,recovered_within_rc
24,Default,4,7,disconnect,distance_exceeded_rc
35,Default,0,1,reconnect,recovered_within_rc
36,Default,4,7,reconnect,recovered_within_rc
38,Default,0,9,disconnect,distance_exceeded_rc
40,Default,7,9,disconnect,distance_exceeded_rc
44,Default,4,7,disconnect,distance_exceeded_rc
45,Default,1,7,reconnect,recovered_within_rc
45,Default,4,7,reconnect,recovered_within_rc
49,Default,0,1,disconnect,distance_exceeded_rc
49,Default,3,7,reconnect,recovered_within_rc
50,Default,7,9,reconnect,recovered_within_rc
51,Default,0,1,reconnect,recovered_within_rc
51,Default,2,7,reconnect,recovered_within_rc+malicious_path
52,Default,1,7,disconnect,distance_exceeded_rc
53,Default,0,9,reconnect,recovered_within_rc
54,Default,0,1,disconnect,distance_exceeded_rc
54,Default,0,2,reconnect,recovered_within_rc+malicious_path
54,Default,0,4,reconnect,recovered_within_rc
55,Default,6,7,reconnect,recovered_within_rc
56,Default,0,1,reconnect,recovered_within_rc
56,Default,1,4,disconnect,distance_exceeded_rc
56,Default,3,4,reconnect,recovered_within_rc
56,Default,3,9,reconnect,recovered_within_rc
57,Default,1,9,disconnect,distance_exceeded_rc
58,Default,2,9,reconnect,recovered_within_rc+malicious_path
59,Default,1,9,reconnect,recovered_within_rc
59,Default,2,4,reconnect,recovered_within_rc+malicious_path
59,Default,2,8,disconnect,distance_exceeded_rc+malicious_path
59,Default,5,7,disconnect,distance_exceeded_rc
59,Default,7,8,reconnect,recovered_within_rc
