episode,total_reward,avg_reward_per_drone,avg_pdr,avg_delay_ms,avg_hop,avg_trust,avg_disconnect,avg_detection
1,129.5186,43.1729,0.7333,31.9870,1.0000,0.6803,0.0000,0.6778
2,34.8003,11.6001,0.7333,36.3270,1.0000,0.6009,0.0000,0.8056
3,56.6463,18.8821,0.6667,58.4299,1.0444,0.4944,0.0667,0.6722
4,49.2267,16.4089,0.7333,35.5628,1.0000,0.6072,0.0000,0.7000
5,147.4356,49.1452,0.7333,28.9785,1.0000,0.7302,0.0000,0.6667
6,48.6982,16.2327,0.7333,33.6577,1.0000,0.6392,0.0000,0.8000
7,46.9918,15.6639,0.7333,36.0718,1.0000,0.6077,0.0000,0.7056
8,34.0400,11.3467,0.7333,34.5583,1.0000,0.6217,0.0000,0.7167
9,-128.7902,-42.9301,0.5333,104.9536,1.0037,0.4032,0.2556,0.6056
10,-609.4546,-203.1515,0.2956,205.1814,1.0037,0.1576,0.6444,0.4444
11,-950.9471,-316.9824,0.3367,164.1356,1.0037,0.2261,0.4944,0.4111
12,-736.3462,-245.4487,0.3844,148.7102,1.0074,0.2777,0.4333,0.4389
13,-1848.6181,-616.2060,0.1911,229.3783,1.0000,0.1644,0.7333,0.4167
14,-1193.5617,-397.8539,0.1800,235.6104,1.0074,0.1474,0.7556,0.4222
15,-1192.0086,-397.3362,0.2544,215.3921,1.0000,0.1737,0.6833,0.4389
16,-1485.5146,-495.1715,0.2056,222.2039,1.0000,0.1634,0.7056,0.4056
17,-719.0277,-239.6759,0.2056,223.7341,1.0074,0.1468,0.7056,0.4000
18,-1121.7136,-373.9045,0.2233,223.1434,1.0037,0.1428,0.7056,0.4389
19,-917.4552,-305.8184,0.2211,220.0669,1.0037,0.1539,0.6944,0.4000
20,-1085.3645,-361.7882,0.2333,211.9500,1.0000,0.1232,0.6556,0.4000
21,-1088.5902,-362.8634,0.2622,198.7989,1.0037,0.1460,0.6111,0.4222
22,-893.5741,-297.8580,0.2422,209.8122,1.0000,0.1416,0.6556,0.4167
23,-848.0485,-282.6828,0.2289,215.9243,1.0037,0.1200,0.6778,0.4333
24,-1187.5947,-395.8649,0.1444,247.8478,1.0037,0.1117,0.8000,0.4111
25,-1180.0282,-393.3427,0.1378,250.6786,1.0037,0.1036,0.8111,0.4056
26,-818.1717,-272.7239,0.2011,231.2984,1.0111,0.1115,0.7389,0.4000
27,-959.3527,-319.7842,0.1289,253.9009,1.0037,0.0914,0.8222,0.3944
28,-942.4390,-314.1463,0.1622,240.2626,1.0037,0.0998,0.7667,0.3889
29,-905.8354,-301.9451,0.1344,252.4125,1.0037,0.0993,0.8167,0.4000
30,-1023.3687,-341.1229,0.1522,244.2707,1.0111,0.1082,0.7833,0.4000
31,-1193.6599,-397.8866,0.1589,243.8327,1.0111,0.1117,0.7833,0.4167
32,-929.7571,-309.9190,0.1456,246.5836,1.0111,0.1152,0.7944,0.4000
33,-883.4652,-294.4884,0.1667,239.0598,1.0074,0.1319,0.7667,0.4056
34,-1252.6165,-417.5388,0.1511,244.6862,1.0000,0.1226,0.7889,0.4056
35,-1202.0971,-400.6990,0.1544,243.7180,1.0074,0.1190,0.7833,0.4056
36,-875.6679,-291.8893,0.1544,244.1078,1.0037,0.1043,0.7833,0.4056
37,-525.0859,-175.0286,0.2611,209.4746,1.0259,0.1791,0.6500,0.4667
38,-495.2658,-165.0886,0.2189,220.2121,1.0111,0.1649,0.6944,0.4389
39,-585.5389,-195.1796,0.2456,216.7685,1.0222,0.1720,0.6833,0.4611
40,-597.5145,-199.1715,0.2156,219.9034,1.0037,0.1327,0.6889,0.4111
41,-708.8411,-236.2804,0.2356,224.1340,1.0222,0.1184,0.7111,0.4333
42,-545.8158,-181.9386,0.2589,216.3694,1.0074,0.1409,0.6833,0.4500
43,-557.1985,-185.7328,0.3133,199.1165,1.0148,0.1610,0.6111,0.4667
44,-292.8304,-97.6101,0.2711,197.6240,1.0222,0.1732,0.6000,0.4222
45,-105.1681,-35.0560,0.5011,126.9840,1.0741,0.2966,0.3167,0.5500
46,-201.9853,-67.3284,0.2878,195.5809,1.0000,0.1598,0.5833,0.4389
47,-90.5563,-30.1854,0.6033,95.2725,1.0407,0.3084,0.1833,0.6056
48,-206.8479,-68.9493,0.2444,210.0832,1.0037,0.1477,0.6444,0.4222
49,-198.4212,-66.1404,0.2389,213.8929,1.0259,0.1561,0.6611,0.4111
50,-330.0121,-110.0040,0.2022,230.2412,1.0037,0.1424,0.7333,0.4389
51,-327.7386,-109.2462,0.2311,216.9090,1.0111,0.1533,0.6778,0.4500
52,-292.7725,-97.5908,0.2844,194.3173,1.0148,0.1824,0.5889,0.4778
53,-33.2109,-11.0703,0.7333,42.1725,1.0000,0.4935,0.0000,0.8222
54,-82.2803,-27.4268,0.4811,117.4605,1.0852,0.3210,0.2833,0.5000
55,-122.2708,-40.7569,0.4133,143.4308,1.0889,0.2399,0.3778,0.4611
56,-144.9073,-48.3024,0.4033,157.7700,1.0407,0.2619,0.4500,0.4667
57,10.4762,3.4921,0.7078,50.1265,1.0111,0.4842,0.0278,0.7500
58,-37.4301,-12.4767,0.5678,89.5106,1.0333,0.4483,0.1944,0.5944
59,-103.6181,-34.5394,0.4078,151.8128,1.0481,0.2628,0.4167,0.4611
60,-88.6726,-29.5575,0.5078,131.0499,1.0778,0.2891,0.3389,0.5556
61,-90.5874,-30.1958,0.4622,123.9194,1.1037,0.2874,0.3000,0.4556
62,-54.1418,-18.0473,0.5867,102.9613,1.0667,0.3696,0.2444,0.6778
63,-84.4654,-28.1551,0.4633,155.6037,1.0185,0.2891,0.4500,0.4778
64,-79.6008,-26.5336,0.5300,127.9557,1.1000,0.3083,0.3389,0.5889
65,-56.8575,-18.9525,0.5033,137.0091,1.0333,0.3532,0.3833,0.5556
66,-60.8786,-20.2929,0.5600,116.2627,1.1037,0.3359,0.2889,0.6389
67,7.1088,2.3696,0.6944,50.8031,1.0259,0.5160,0.0389,0.6889
68,-165.6027,-55.2009,0.7000,54.3525,1.0370,0.4989,0.0556,0.8389
69,67.2488,22.4163,0.7333,37.0753,1.0000,0.5875,0.0000,0.8722
70,34.4235,11.4745,0.6733,53.2189,1.0222,0.5809,0.0667,0.6278
71,50.2898,16.7633,0.7333,38.9097,1.0000,0.5512,0.0000,0.9333
72,-8.1618,-2.7206,0.6600,71.5565,1.0222,0.4611,0.1222,0.6889
73,-54.8619,-18.2873,0.5533,98.4397,1.0444,0.4113,0.2222,0.5500
74,-20.8449,-6.9483,0.6489,64.8226,1.0444,0.4712,0.0889,0.7667
75,-35.4395,-11.8132,0.5733,97.5402,1.0519,0.4229,0.2222,0.6667
76,-39.9276,-13.3092,0.5600,107.5616,1.0519,0.3669,0.2556,0.6500
77,-218.5905,-72.8635,0.4289,153.9233,1.0296,0.2669,0.4333,0.5000
78,-238.9381,-79.6460,0.3467,169.0636,1.0370,0.2629,0.4889,0.4278
79,-140.4095,-46.8032,0.3644,162.2945,1.0444,0.2169,0.4556,0.4278
80,-111.0571,-37.0190,0.4311,149.3754,1.0444,0.2675,0.4111,0.4889
81,-92.7752,-30.9251,0.5033,140.8563,1.0630,0.2651,0.3833,0.5389
82,-108.8435,-36.2812,0.4622,128.5490,1.0444,0.2622,0.3222,0.5222
83,45.2723,15.0908,0.7333,38.8966,1.0000,0.5519,0.0000,0.8167
84,-30.7336,-10.2445,0.6044,90.3105,1.0444,0.3738,0.1778,0.7222
85,-87.7502,-29.2501,0.5133,125.9190,1.0296,0.2914,0.3111,0.5278
86,-48.3698,-16.1233,0.6111,90.3506,1.0444,0.3339,0.1667,0.6389
87,-28.5783,-9.5261,0.5167,109.4369,1.0259,0.3892,0.2611,0.5611
88,-32.7365,-10.9122,0.6256,83.9659,1.0704,0.3746,0.1500,0.7000
89,-52.6654,-17.5551,0.5711,98.9757,1.0296,0.3575,0.2111,0.6556
90,19.4422,6.4807,0.7233,46.9555,1.0111,0.4766,0.0167,0.8889
91,9.9728,3.3243,0.7333,43.5207,1.0000,0.4697,0.0000,0.7944
92,-65.7440,-21.9147,0.5978,84.6909,1.0741,0.4006,0.1556,0.6000
93,17.6629,5.8876,0.6456,72.1431,1.0185,0.4496,0.1167,0.8222
94,-13.5938,-4.5313,0.6222,72.2407,1.0741,0.4496,0.1111,0.6111
95,-17.6481,-5.8827,0.6133,82.9686,1.0444,0.4579,0.1667,0.7278
96,-106.7682,-35.5894,0.5367,114.3213,1.0778,0.3643,0.2833,0.5833
97,-52.0634,-17.3545,0.5678,99.8409,1.0259,0.3678,0.2167,0.6944
98,-46.0697,-15.3566,0.5378,112.4685,1.0815,0.3721,0.2778,0.6167
99,-75.0694,-25.0231,0.6667,73.4147,1.0741,0.3754,0.1111,0.7000
100,-127.7157,-42.5719,0.4967,114.4775,1.0630,0.3377,0.2722,0.4944
101,-45.4175,-15.1392,0.5733,111.2845,1.1407,0.3350,0.2667,0.6222
102,-38.5721,-12.8574,0.5444,96.3355,1.1259,0.3532,0.1889,0.4889
103,-47.6234,-15.8745,0.5722,102.8495,1.0074,0.3087,0.2167,0.6833
104,-141.9046,-47.3015,0.3522,166.0343,1.0111,0.2177,0.4722,0.4444
105,-155.2549,-51.7516,0.3967,154.5708,1.0556,0.2275,0.4278,0.4944
106,-36.7280,-12.2427,0.6067,98.0340,1.0963,0.3423,0.2111,0.6889
107,-57.3458,-19.1153,0.5144,127.5560,1.0481,0.3073,0.3278,0.5833
108,-51.2011,-17.0670,0.6167,77.3254,1.0778,0.3675,0.1167,0.6111
109,-11.1891,-3.7297,0.6100,89.8668,1.0593,0.4238,0.1944,0.7000
110,-80.9254,-26.9751,0.4522,132.0226,1.0556,0.2985,0.3389,0.5056
111,-143.4485,-47.8162,0.2656,202.3609,1.0037,0.1839,0.6167,0.4611
112,-35.0322,-11.6774,0.5389,110.0612,1.0593,0.3344,0.2500,0.6278
113,-262.9653,-87.6551,0.3756,173.7272,1.0296,0.2139,0.5111,0.4611
114,-383.9430,-127.9810,0.2900,191.4056,1.0000,0.1708,0.5722,0.4278
115,-360.9486,-120.3162,0.1578,242.6367,1.0000,0.1116,0.7778,0.4056
116,-492.1119,-164.0373,0.2533,205.2530,1.0037,0.2301,0.6444,0.4389
117,-469.5452,-156.5151,0.2844,194.0389,1.0000,0.2395,0.6000,0.4500
118,-682.5339,-227.5113,0.3056,184.1737,1.0074,0.1869,0.5500,0.4333
119,-575.0682,-191.6894,0.4089,170.3096,1.0074,0.2037,0.5111,0.4667
120,-615.4797,-205.1599,0.3422,191.2882,1.0111,0.1740,0.5889,0.4500
121,-588.2789,-196.0930,0.4067,178.4193,1.0000,0.1519,0.5444,0.4167
122,-267.8168,-89.2723,0.2767,192.7104,1.0000,0.1629,0.5833,0.4056
123,-341.7927,-113.9309,0.2033,223.9403,1.0074,0.1394,0.7056,0.4056
124,-233.3510,-77.7837,0.2989,184.8317,1.0148,0.1546,0.5500,0.4111
125,-460.4955,-153.4985,0.2400,209.6075,1.0037,0.1863,0.6556,0.4222
126,-218.1798,-72.7266,0.3000,183.2284,1.0037,0.1636,0.5444,0.4000
127,-233.1536,-77.7179,0.3322,174.8437,1.0000,0.2110,0.5167,0.4500
128,-123.9708,-41.3236,0.4033,158.4963,1.0370,0.2599,0.4500,0.4722
129,-617.2317,-205.7439,0.3322,170.7457,1.0185,0.1588,0.4944,0.4167
130,-304.8383,-101.6128,0.2567,203.1582,1.0074,0.1857,0.6278,0.4167
131,-42.6834,-14.2278,0.5867,107.6522,1.1037,0.3234,0.2444,0.6500
132,-133.8643,-44.6214,0.3867,171.0578,1.0148,0.2388,0.5000,0.4667
133,-42.0734,-14.0245,0.5822,89.5244,1.0667,0.4013,0.1778,0.6611
134,-151.7924,-50.5975,0.4356,135.1911,1.0444,0.2781,0.3556,0.4778
135,-144.0360,-48.0120,0.5956,85.2354,1.0444,0.4334,0.1667,0.6167
136,31.7951,10.5984,0.7333,43.6267,1.0000,0.4628,0.0000,0.9222
137,-54.1323,-18.0441,0.5700,94.2824,1.0185,0.4281,0.2056,0.7167
138,-12.9412,-4.3137,0.5933,93.0403,1.0593,0.3965,0.2000,0.7056
139,-10.7211,-3.5737,0.6444,69.3730,1.0593,0.3963,0.0889,0.6389
140,-78.9632,-26.3211,0.5489,108.0261,1.0889,0.3783,0.2556,0.5222
141,-114.0935,-38.0312,0.5533,104.2855,1.0222,0.3459,0.2333,0.6000
142,30.1970,10.0657,0.6833,54.7502,1.0333,0.4913,0.0500,0.7056
143,23.2949,7.7650,0.6744,64.7027,1.0259,0.4344,0.0833,0.8500
144,-17.2067,-5.7356,0.6344,80.9403,1.0778,0.3672,0.1389,0.6778
145,1.7488,0.5829,0.6167,71.4648,1.0778,0.4699,0.1167,0.6111
146,-43.1557,-14.3852,0.5633,101.8229,1.1444,0.3202,0.2167,0.6000
147,2.4081,0.8027,0.6433,76.2602,1.0333,0.4801,0.1500,0.6500
148,-49.2549,-16.4183,0.5589,95.6035,1.0333,0.3711,0.2056,0.5833
149,-27.3178,-9.1059,0.5867,101.3007,1.0370,0.4338,0.2444,0.6944
150,-127.8568,-42.6189,0.3944,149.6342,1.0185,0.2549,0.4167,0.4611
151,-68.5555,-22.8518,0.5833,106.9243,1.0556,0.3286,0.2500,0.6333
152,-70.8342,-23.6114,0.5178,115.8320,1.0519,0.3523,0.2889,0.6056
153,-117.8364,-39.2788,0.4578,133.1240,1.0222,0.2902,0.3444,0.5889
154,-74.9458,-24.9819,0.4900,117.1205,1.0259,0.3531,0.2944,0.5667
155,-21.7638,-7.2546,0.5878,92.1823,1.0407,0.4129,0.1944,0.6222
156,-146.7820,-48.9273,0.4800,150.4184,1.0444,0.2205,0.4222,0.4722
157,-14.4813,-4.8271,0.7333,40.3105,1.0000,0.5292,0.0000,0.8000
158,4.7669,1.5890,0.7000,50.7745,1.0222,0.4778,0.0333,0.7500
159,-30.5538,-10.1846,0.6833,60.6815,1.0111,0.4201,0.0611,0.6889
160,-7.4265,-2.4755,0.6433,68.3535,1.0481,0.4197,0.0944,0.7167
161,-60.6405,-20.2135,0.5867,93.7842,1.0741,0.3614,0.1889,0.5500
162,-8.4775,-2.8258,0.6067,95.8287,1.0963,0.3919,0.2111,0.7722
163,-47.4312,-15.8104,0.5622,95.9520,1.0667,0.3424,0.1889,0.5278
164,-53.9595,-17.9865,0.5822,87.6656,1.0667,0.4017,0.1667,0.5722
165,-58.4270,-19.4757,0.6856,59.5327,1.0037,0.4370,0.0611,0.8222
166,-56.7384,-18.9128,0.5600,114.5654,1.0593,0.3540,0.2889,0.6000
167,-17.5320,-5.8440,0.6667,72.9774,1.0741,0.3943,0.1111,0.6833
168,-92.8131,-30.9377,0.5167,131.9630,1.0407,0.2850,0.3500,0.5833
169,-72.0040,-24.0013,0.5389,96.7364,1.1296,0.3241,0.1944,0.4833
170,-54.8064,-18.2688,0.5778,97.0176,1.0296,0.3186,0.1889,0.6056
171,-42.9620,-14.3207,0.6100,95.4180,1.0630,0.3713,0.2056,0.7389
172,-162.8816,-54.2939,0.3956,153.5027,1.0333,0.1759,0.4111,0.5000
173,-36.2072,-12.0691,0.5511,114.3225,1.0704,0.3487,0.2778,0.6111
174,-138.9421,-46.3140,0.4178,157.8218,1.0037,0.2196,0.4444,0.4833
175,-64.9753,-21.6584,0.5011,119.4466,1.0111,0.3074,0.2944,0.6056
176,-46.9785,-15.6595,0.5411,104.5425,1.0259,0.3466,0.2389,0.6444
177,-18.3198,-6.1066,0.6667,62.3411,1.0444,0.4250,0.0667,0.7389
178,-195.9134,-65.3045,0.3411,174.4199,1.0481,0.1764,0.4944,0.4333
179,-274.5798,-91.5266,0.3222,182.5542,1.0111,0.1754,0.5444,0.4222
180,-114.0963,-38.0321,0.4122,144.7554,1.0481,0.2182,0.3833,0.4667
181,-299.4877,-99.8292,0.3367,171.9818,1.0037,0.1341,0.4944,0.4389
182,-37.8785,-12.6262,0.5167,126.8201,1.0074,0.3377,0.3278,0.5778
183,-67.8020,-22.6007,0.4033,150.1337,1.0000,0.2790,0.4167,0.5222
184,-71.0999,-23.7000,0.4656,129.4495,1.0333,0.3231,0.3278,0.5222
185,-59.5082,-19.8361,0.5389,111.1245,1.0778,0.2688,0.2389,0.5167
186,-58.3448,-19.4483,0.4978,136.7253,1.0407,0.2703,0.3556,0.5722
187,-104.9833,-34.9944,0.3400,186.7936,1.0296,0.2294,0.5667,0.5167
188,-98.1167,-32.7056,0.3356,188.1400,1.0111,0.2476,0.5778,0.4889
189,-142.9312,-47.6437,0.4122,147.0800,1.0481,0.1905,0.3833,0.4667
190,-170.2032,-56.7344,0.2689,202.8072,1.0185,0.1886,0.6222,0.4278
191,-106.2024,-35.4008,0.2756,198.9956,1.0037,0.2223,0.6111,0.4444
192,-122.6837,-40.8946,0.3122,182.3070,1.0111,0.2479,0.5500,0.4611
193,-29.3921,-9.7974,0.5856,91.5455,1.0037,0.3807,0.1833,0.6611
194,-51.8711,-17.2904,0.5222,127.8104,1.0407,0.3027,0.3333,0.6389
195,11.0006,3.6669,0.5833,105.2878,1.0037,0.3810,0.2500,0.7000
196,-36.3353,-12.1118,0.4667,130.5427,1.0259,0.3058,0.3333,0.5889
197,21.2132,7.0711,0.6556,71.0545,1.0370,0.4328,0.1111,0.7667
198,10.2605,3.4202,0.6567,75.1820,1.0407,0.4110,0.1278,0.7556
199,84.9527,28.3176,0.7233,42.3788,1.0111,0.5579,0.0167,0.7944
200,3.4500,1.1500,0.6967,53.0266,1.0407,0.5502,0.0611,0.7722
201,-12.2225,-4.0742,0.6133,96.0840,1.0074,0.3357,0.2000,0.6889
