episode,total_reward,avg_reward_per_drone,avg_pdr,avg_delay_ms,avg_hop,avg_trust,avg_disconnect,avg_detection
1,1587.9592,158.7959,0.4176,46.9038,1.0460,0.6311,0.0511,0.9317
2,1337.4130,133.7413,0.3728,53.8971,1.0607,0.6050,0.0674,0.8467
3,1329.2317,132.9232,0.3846,60.2882,1.0877,0.6006,0.0974,0.7883
4,1540.9224,154.0922,0.4237,42.0274,1.0303,0.6440,0.0337,0.9250
5,1451.9328,145.1933,0.4015,53.5225,1.0643,0.6191,0.0715,0.8800
6,953.1188,95.3119,0.3798,58.0664,1.0817,0.6077,0.0893,0.7700
7,1483.7953,148.3795,0.4442,35.0396,1.0110,0.6600,0.0122,0.9750
8,1250.3787,125.0379,0.3663,60.5966,1.0820,0.5960,0.0911,0.7867
9,-124.1705,-12.4171,0.3164,102.3045,1.2132,0.5493,0.2526,0.6833
10,-8608.0689,-860.8069,0.1444,205.1527,1.8094,0.3344,0.6374,0.2567
11,-6357.0214,-635.7021,0.1389,206.2679,1.6768,0.3343,0.6419,0.2467
12,-4939.6360,-493.9636,0.1371,208.8166,1.6182,0.3298,0.6526,0.2400
13,-12067.9766,-1206.7977,0.1281,211.9711,1.4438,0.3213,0.6630,0.2300
14,-14195.1452,-1419.5145,0.1456,208.7618,1.3388,0.3334,0.6537,0.2550
15,-10998.5103,-1099.8510,0.1306,211.3058,1.3933,0.3256,0.6611,0.2333
16,-15046.0677,-1504.6068,0.1377,211.1350,1.0935,0.3219,0.6637,0.2333
17,-14347.1524,-1434.7152,0.1523,205.7338,1.1273,0.3319,0.6433,0.2367
18,-8690.0232,-869.0023,0.1788,196.4905,1.1591,0.3524,0.6126,0.2550
19,-18066.0084,-1806.6008,0.1728,197.2076,1.2708,0.3530,0.6170,0.2717
20,-19496.0758,-1949.6076,0.1781,199.6348,1.1232,0.3455,0.6256,0.2683
1,1186.8699,118.6870,0.4069,46.8322,1.0453,0.6243,0.0504,0.8517
2,1688.2843,168.8284,0.4251,40.2087,1.0250,0.6465,0.0278,0.9400
3,1819.2435,181.9244,0.4517,35.1181,1.0130,0.6651,0.0144,0.9733
4,1435.5702,143.5570,0.3963,57.1409,1.0787,0.6135,0.0874,0.8950
5,1030.0361,103.0036,0.3671,68.6689,1.1267,0.5895,0.1307,0.7083
6,1619.3500,161.9350,0.4539,35.1982,1.0170,0.6671,0.0189,0.9400
7,1532.9499,153.2950,0.4023,48.6700,1.0460,0.6220,0.0511,0.9550
8,1330.3558,133.0356,0.3873,57.5752,1.0780,0.6035,0.0867,0.8200
21,-13367.2739,-1336.7274,0.1673,197.3892,1.3081,0.3487,0.6130,0.2617
9,-157.9909,-15.7991,0.3398,93.4249,1.2823,0.5714,0.2285,0.6983
22,-10250.9116,-1025.0912,0.1536,205.6640,1.3817,0.3393,0.6441,0.2583
10,-7476.3209,-747.6321,0.1611,196.3933,1.3897,0.3486,0.6063,0.2550
11,-14566.7844,-1456.6784,0.1422,205.9760,1.1535,0.3314,0.6407,0.2483
23,-16610.4277,-1661.0428,0.1465,204.9691,1.1175,0.3375,0.6396,0.2550
12,-4748.2132,-474.8213,0.1545,196.0894,1.8702,0.3496,0.6033,0.2683
24,-10347.8192,-1034.7819,0.1521,205.2069,1.2541,0.3424,0.6411,0.2600
13,-12026.6764,-1202.6676,0.1652,201.7662,1.3660,0.3390,0.6326,0.2633
25,-4119.1344,-411.9134,0.1642,195.6983,1.3970,0.3556,0.6052,0.2583
14,-7600.7300,-760.0730,0.1566,196.7690,1.3042,0.3441,0.6081,0.2467
26,-4109.0391,-410.9039,0.1749,193.4070,1.4035,0.3583,0.6000,0.2583
15,-11225.7075,-1122.5708,0.1950,187.2231,1.1777,0.3616,0.5789,0.2500
16,-11703.5499,-1170.3550,0.1666,199.3440,1.2791,0.3431,0.6226,0.2550
27,-9942.2247,-994.2225,0.1680,196.7996,1.2376,0.3532,0.6111,0.2633
17,-23098.3362,-2309.8336,0.1642,197.7077,1.1395,0.3454,0.6152,0.2450
28,-13454.2379,-1345.4238,0.1620,197.4945,1.1934,0.3482,0.6126,0.2550
18,-16105.0431,-1610.5043,0.1496,202.3982,1.0910,0.3388,0.6281,0.2617
29,-9347.9771,-934.7977,0.1575,200.6146,1.3490,0.3445,0.6241,0.2583
19,-8848.1095,-884.8110,0.1523,201.0282,1.3627,0.3411,0.6244,0.2483
30,-7064.7458,-706.4746,0.1596,203.8369,1.2858,0.3437,0.6374,0.2650
20,-7824.8471,-782.4847,0.1548,204.0458,1.3997,0.3362,0.6374,0.2417
31,-5139.1325,-513.9133,0.1710,195.9171,1.3321,0.3561,0.6100,0.2650
32,-6020.2592,-602.0259,0.1557,201.5424,1.3566,0.3447,0.6274,0.2667
33,-5322.3385,-532.2339,0.1682,196.4896,1.3971,0.3548,0.6115,0.2667
34,-7503.9223,-750.3922,0.1564,200.7914,1.2508,0.3463,0.6248,0.2650
35,-4557.3825,-455.7382,0.1569,200.2995,1.4310,0.3478,0.6237,0.2567
36,-6975.5866,-697.5587,0.1530,201.3598,1.4239,0.3437,0.6267,0.2467
