episode,algorithm,q_current_mean,q_target_mean,q_overestimation_gap,q_abs_td_error,q1_current_mean,q2_current_mean,q_disagreement_mean,critic_loss1_mean,critic_loss2_mean,actor_loss_mean,actor_update_ratio
1,MADDPG,-193.098701,-200.202500,7.103799,15.095720,-193.098701,,,,,,
2,MADDPG,-243.859276,-250.429539,6.570264,13.621728,-243.859276,,,,,,
3,MADDPG,-203.772747,-205.017949,1.245202,10.184377,-203.772747,,,,,,
4,MADDPG,-146.437589,-148.847566,2.409977,10.985708,-146.437589,,,,,,
5,MADDPG,-275.986885,-275.778262,-0.208623,12.333486,-275.986885,,,,,,
6,MADDPG,-137.194765,-142.152772,4.958006,11.417567,-137.194765,,,,,,
7,MADDPG,-149.304564,-153.091919,3.787355,11.234048,-149.304564,,,,,,
8,MADDPG,-295.661944,-300.685499,5.023555,13.651683,-295.661944,,,,,,
9,MADDPG,-135.436424,-141.766513,6.330089,12.555075,-135.436424,,,,,,
10,MADDPG,-191.342364,-197.514642,6.172278,13.925401,-191.342364,,,,,,
11,MADDPG,-226.447794,-231.159238,4.711444,15.605237,-226.447794,,,,,,
12,MADDPG,-109.665905,-115.710430,6.044525,13.010210,-109.665905,,,,,,
13,MADDPG,-240.897471,-248.317695,7.420224,15.638463,-240.897471,,,,,,
14,MADDPG,-233.925049,-234.928548,1.003498,13.290813,-233.925049,,,,,,
15,MADDPG,-120.592475,-130.152730,9.560255,14.589759,-120.592475,,,,,,
16,MADDPG,-163.524484,-166.909979,3.385495,12.202371,-163.524484,,,,,,
17,MADDPG,-215.539181,-218.335420,2.796238,12.148520,-215.539181,,,,,,
18,MADDPG,-236.825092,-239.034029,2.208936,12.955558,-236.825092,,,,,,
19,MADDPG,-175.751599,-185.165836,9.414237,17.401816,-175.751599,,,,,,
20,MADDPG,-264.296813,-270.168371,5.871558,12.231884,-264.296813,,,,,,
1,MADDPG,-193.098701,-200.202500,7.103799,15.095720,-193.098701,,,,,,
2,MADDPG,-243.859276,-250.429539,6.570264,13.621728,-243.859276,,,,,,
3,MADDPG,-203.772747,-205.017949,1.245202,10.184377,-203.772747,,,,,,
4,MADDPG,-146.437589,-148.847566,2.409977,10.985708,-146.437589,,,,,,
5,MADDPG,-275.986885,-275.778262,-0.208623,12.333486,-275.986885,,,,,,
6,MADDPG,-137.194765,-142.152772,4.958006,11.417567,-137.194765,,,,,,
7,MADDPG,-149.304564,-153.091919,3.787355,11.234048,-149.304564,,,,,,
8,MADDPG,-295.661944,-300.685499,5.023555,13.651683,-295.661944,,,,,,
1,MADDPG,-193.098701,-200.202500,7.103799,15.095720,-193.098701,,,,,,
2,MADDPG,-243.859276,-250.429539,6.570264,13.621728,-243.859276,,,,,,
3,MADDPG,-203.772747,-205.017949,1.245202,10.184377,-203.772747,,,,,,
4,MADDPG,-146.437589,-148.847566,2.409977,10.985708,-146.437589,,,,,,
5,MADDPG,-275.986885,-275.778262,-0.208623,12.333486,-275.986885,,,,,,
1,MADDPG,-193.098701,-200.202500,7.103799,15.095720,-193.098701,,,,,,
2,MADDPG,-243.859276,-250.429539,6.570264,13.621728,-243.859276,,,,,,
3,MADDPG,-203.772747,-205.017949,1.245202,10.184377,-203.772747,,,,,,
4,MADDPG,-146.437589,-148.847566,2.409977,10.985708,-146.437589,,,,,,
5,MADDPG,-275.986885,-275.778262,-0.208623,12.333486,-275.986885,,,,,,
1,MADDPG,-68.716869,-71.561961,2.845092,11.562471,-68.716869,,,,,,
2,MADDPG,-130.800035,-134.625953,3.825918,12.583140,-130.800035,,,,,,
