episode,algorithm,q_current_mean,q_target_mean,q_overestimation_gap,q_abs_td_error,q1_current_mean,q2_current_mean,q_disagreement_mean,critic_loss1_mean,critic_loss2_mean,actor_loss_mean,actor_update_ratio
1,MATD3,-302.268585,-304.437914,2.169329,11.018860,-294.866480,-298.440621,11.230069,,,,
2,MATD3,-285.918748,-289.619464,3.700716,11.037492,-280.166116,-281.214064,10.457316,,,,
3,MATD3,-330.849190,-331.301557,0.452367,10.167897,-325.889011,-327.247605,8.561764,,,,
4,MATD3,-288.405134,-286.431648,-1.973486,10.091562,-283.175075,-284.675424,8.959770,,,,
5,MATD3,-292.106784,-293.787457,1.680674,10.526836,-285.520332,-288.730441,9.962794,,,,
6,MATD3,-343.052887,-346.693268,3.640381,11.736475,-337.831719,-338.967371,9.306684,,,,
7,MATD3,-355.367220,-356.042057,0.674836,11.218485,-350.192865,-349.660862,10.880714,,,,
8,MATD3,-229.357118,-227.818890,-1.538229,9.731792,-224.382251,-224.403514,9.928471,,,,
9,MATD3,-380.139746,-383.176841,3.037095,11.844733,-374.376897,-375.583612,10.318984,,,,
10,MATD3,-344.283416,-342.562241,-1.721175,12.430473,-338.185165,-339.750172,10.631494,,,,
11,MATD3,-356.053183,-356.968972,0.915789,10.463026,-349.250287,-352.630856,10.225223,,,,
12,MATD3,-313.057495,-310.223203,-2.834292,11.616647,-305.025477,-308.875178,12.214336,,,,
13,MATD3,-263.643323,-267.896028,4.252706,11.480260,-259.179212,-259.002361,9.105073,,,,
14,MATD3,-228.020960,-227.868373,-0.152588,8.780448,-223.334385,-223.749002,8.958535,,,,
15,MATD3,-302.099019,-304.373685,2.274666,10.748163,-296.367858,-297.608260,10.221921,,,,
16,MATD3,-295.551402,-296.614292,1.062890,12.216843,-290.628039,-290.140388,10.334376,,,,
17,MATD3,-316.799725,-320.150846,3.351121,11.052081,-310.760902,-312.769292,10.069257,,,,
18,MATD3,-317.900009,-319.535855,1.635846,10.769662,-312.212817,-313.638246,9.948956,,,,
19,MATD3,-305.120300,-305.549341,0.429040,9.327301,-298.028488,-302.095419,10.116694,,,,
20,MATD3,-257.378202,-258.264973,0.886771,10.087353,-251.380372,-254.491239,8.884792,,,,
1,MATD3,-235.227709,-235.014748,-0.212961,8.817420,-228.507210,-232.850747,9.097462,,,,
2,MATD3,-219.733415,-220.019711,0.286296,7.857616,-213.179959,-217.877152,8.409719,,,,
